Chr Gene nSNPs nSims Start Stop Test Pvalue TopSNP TopSNP-pvalue
13 "GJB6" 2 1e+06 20796100 20806534 18.9014227972038 9.99999000001e-05 "rs877098" 8.40406200000022e-05
12 "PHC1" 11 1e+06 9067315 9094060 84.5321405816908 0.000185999814000186 "rs1805740" 1.33557839999998e-05
3 "FGD5" 48 1e+06 14860468 14976072 246.44767523764 0.000254999745000255 "rs13084708" 1.9888955e-06
18 "CIDEA" 7 1e+06 12254317 12277594 45.8171621535973 0.000276999723000277 "rs8084404" 8.25072900000009e-07
2 "ADI1" 6 1e+06 3501689 3523350 54.3528238499323 0.000405999594000406 "rs4410319" 5.87638600000011e-05
16 "GPRC5B" 4 1e+06 19870292 19896151 33.8756477900205 0.000611999388000612 "rs4782296" 0.000116720234999998
15 "TJP1" 15 1e+06 29992356 30114706 89.9863155558812 0.000614999385000615 "rs4362339" 6.43358399999987e-05
2 "SLC19A3" 7 1e+06 228549925 228582745 32.3305427733681 0.000640999359000641 "rs6708238" 0.000604781899999994
4 "CSN1S2AP" 4 1e+06 70933102 70950988 27.2137226797882 0.00066999933000067 "rs4694266" 0.000105206619999999
17 "LOC100507351" 6 1e+06 75543022 75561103 40.9829073888614 0.000675999324000676 "rs12947286" 0.000508889899999988
6 "C6orf165" 12 1e+06 88117689 88174191 87.9445168891336 0.000768999231000769 "rs6454618" 5.20116300000002e-05
15 "TM6SF1" 2 1e+06 83776323 83806111 15.1912613180984 0.000778999221000779 "rs1989" 9.85389559999986e-05
14 "GSKIP" 2 1e+06 96829788 96853627 16.9468341639067 0.000783999216000784 "rs1545280" 0.002398659
5 "LOC340074" 4 1e+05 134984371 134989624 35.6099581783094 0.000969990300096999 "rs11738518" 8.95345300000004e-05
13 "VPS36" 2 1e+05 52986736 53024813 17.4056037343789 0.00119998800012 "rs9568732" 0.000131752600000001
19 "ZNF615" 7 1e+05 52494586 52511483 57.1347670990572 0.001209987900121 "rs7257830" 0.000335942599999999
7 "TSPAN12" 8 1e+05 120427373 120498177 55.3871489078156 0.001289987100129 "rs3779386" 0.000229603320000005
11 "NUP160" 3 1e+05 47799669 47870057 21.1326378757933 0.001309986900131 "rs7114011" 0.000642951349999985
16 "PHLPP2" 9 1e+05 71678828 71758604 52.4319900614114 0.001319986800132 "rs11859729" 0.000980543199999987
13 "CKAP2" 2 1e+05 53029494 53050766 14.152756194474 0.001369986300137 "rs11618716" 0.000246619140000004
23 "GPR64" 28 1e+05 19007424 19140755 162.196510292796 0.001389986100139 "rs5909271" 3.189164e-05
4 "ZNF141" 2 1e+05 331595 367691 17.6517051511183 0.00139998600014 "rs34483255" 0.0017811817
18 "DSC1" 12 1e+05 28709213 28742819 62.6283611238189 0.001439985600144 "rs2249810" 0.000398918200000001
6 "LOC101927730" 5 1e+05 2884221 2900910 20.8405963907599 0.001469985300147 "rs1052886" 0.0016660562
17 "SRCIN1" 10 1e+05 36686258 36762183 52.2314353953833 0.001479985200148 "rs6503708" 0.000329770149999996
14 "KLHL28" 2 1e+05 45393526 45431179 19.7581137208523 0.001509984900151 "rs11845904" 0.000779710939999993
6 "SERPINB9" 5 1e+05 2887499 2903546 20.8405963907599 0.001519984800152 "rs1052886" 0.0016660562
20 "EYA2" 164 1e+05 45523262 45817492 411.271962955883 0.001559984400156 "rs6063038" 0.000102732880000001
2 "PQLC3" 2 1e+05 11295497 11318998 13.4793775053064 0.001609983900161 "rs6432182" 0.000301273569999996
11 "C11orf58" 3 1e+05 16760147 16779901 21.8654573962632 0.001669983300167 "rs10734249" 0.000920289139999998
3 "LINC01266" 69 1e+05 633787 887698 247.542146076009 0.001709982900171 "rs7621645" 0.000145036630000003
1 "CD160" 2 1e+05 145695797 145715639 13.0569140315888 0.001719982800172 "rs1471634" 0.000587156499999995
16 "MARVELD3" 3 1e+05 71660055 71675868 20.7689190755731 0.001759982400176 "rs1345868" 0.00117631379999997
3 "NRROS" 4 1e+05 196366655 196388874 18.5220075318479 0.001789982100179 "rs7635042" 0.00135372
10 "XPNPEP1" 18 1e+05 111624523 111683311 114.977564599823 0.001909980900191 "rs7078789" 8.29158159999978e-05
23 "MAMLD1" 47 1e+05 149531544 149682448 134.519589140149 0.002019979800202 "rs5924952" 0.00102274150000003
4 "RBM46" 2 1e+05 155702423 155749965 12.3045920297095 0.002019979800202 "rs11942104" 0.0013009228
13 "TPTE2P3" 2 1e+05 53063127 53161225 12.9475019346073 0.002079979200208 "rs4307828" 0.000597520200000011
3 "DCP1A" 9 1e+05 53317444 53381654 60.8029955390596 0.002119978800212 "rs1108506" 6.89111599999996e-05
1 "ANGPTL1" 2 1e+05 178818669 178840215 12.8742461940778 0.002189978100219 "rs4652329" 0.00436256549999998
6 "MCUR1" 8 1e+05 13786780 13814792 28.6715170605849 0.002269977300227 "rs9396165" 0.000308939279999994
19 "LOC101929164" 2 1e+05 23197876 23206499 18.3934948665756 0.002349976500235 "rs290584" 0.00142580450000002
2 "TMEM37" 5 1e+05 120189445 120196096 31.4592240133018 0.002359976400236 "rs2579633" 0.000400150100000003
5 "TMEM232" 36 1e+05 109755197 110062450 169.017167954855 0.002539974600254 "rs10078883" 0.000436859639999992
12 "FBXW8" 27 1e+05 117348760 117468953 161.963925086491 0.002559974400256 "rs4767484" 0.000914053699999992
3 "RAB7A" 6 1e+05 128444978 128533641 33.5232560405187 0.002609973900261 "rs4384970" 0.0019140196
3 "NUDT16P1" 3 1e+05 131080688 131083966 17.0967799286928 0.002689973100269 "rs17354529" 0.00327568829999999
5 "NR2F1-AS1" 8 1e+05 92745061 92917026 49.9711990752665 0.002769972300277 "rs17083213" 0.000596727069999986
12 "NAV3" 148 1e+05 78225068 78606792 360.229670443619 0.00289997100029 "rs11107562" 0.000253442619999995
1 "RNF115" 9 1e+05 145610989 145689005 54.2182841153555 0.002909970900291 "rs12143786" 0.000423478750000001
8 "LOC100507651" 4 1e+05 58131647 58145388 28.1617205560739 0.002909970900291 "rs7820302" 0.0016859547
6 "ETV7" 8 1e+05 36321997 36355577 30.991902207438 0.002929970700293 "rs11966082" 0.002274492
5 "LOC101928651" 21 1e+05 60958984 60994259 95.5378723683371 0.002969970300297 "rs16893684" 0.000562495799999989
7 "WDR91" 12 1e+05 134868589 134896316 90.3628559436171 0.002989970100299 "rs17233604" 0.000262252699999999
4 "KLF3-AS1" 15 1e+05 38614321 38666249 67.5374364009458 0.003019969800302 "rs11096953" 0.000699279000000005
3 "SLC7A14" 44 1e+05 170177341 170303863 157.464261467115 0.003129968700313 "rs7617841" 8.83085999999999e-05
18 "LOC101927698" 15 1e+05 28681550 28742752 67.8034512613799 0.00319996800032 "rs2249810" 0.000398918200000001
18 "CBLN2" 3 1e+05 70203914 70211723 13.6667734052879 0.003319966800332 "rs658995" 0.008851065
17 "MTMR4" 2 1e+05 56566892 56595251 12.2474297964668 0.003329966700333 "rs4793949" 0.000959434599999994
4 "CCNI" 3 1e+05 77969176 77997125 13.6923393576319 0.003549964500355 "rs4252831" 0.0017811904
10 "ADD3" 12 1e+05 111765725 111895323 53.5278898005017 0.003559964400356 "rs2501574" 2.01365900000003e-06
6 "LYRM4" 60 1e+05 5108652 5261183 203.741723048779 0.003559964400356 "rs2143693" 9.94147900000018e-05
1 "NUDT17" 2 1e+05 145586492 145589435 11.7337226538463 0.003579964200358 "rs2004659" 0.000713802999999991
17 "LOC100506325" 8 1e+05 45975751 46018770 44.3686147102318 0.003659963400366 "rs16949418" 0.0017614656
12 "LOC100506551" 2 1e+05 117415244 117425142 16.0868958059382 0.003679963200368 "rs11068277" 0.0035069133
1 "BPNT1" 5 1e+05 220230823 220263195 20.9831808452014 0.003839961600384 "rs2577152" 0.000430661780000004
16 "DHODH" 8 1e+05 72042642 72059316 42.9696768544775 0.003959960400396 "rs4788600" 0.000620660950000007
2 "OBSL1" 4 1e+05 220415449 220436268 20.5548659879854 0.003959960400396 "rs1983210" 0.00143608429999999
17 "SP2" 4 1e+05 45973515 46006323 16.4704502716843 0.003989960100399 "rs16949418" 0.0017614656
5 "UBTD2" 20 1e+05 171636649 171710795 119.853145707568 0.004009959900401 "rs6863095" 0.000856162750000014
1 "RASSF5" 21 1e+05 206680862 206762616 78.4436673980685 0.00409995900041 "rs10863711" 0.000522510200000014
12 "TMEM132C" 177 1e+05 128751947 129192460 324.238165118 0.004119958800412 "rs4882782" 0.00034742462000001
20 "LOC100287792" 3 1e+05 36305311 36311636 18.363325324927 0.004189958100419 "rs6095722" 0.00110996550000002
7 "C7orf49" 3 1e+05 134850531 134855578 24.36114975621 0.004469955300447 "rs2278126" 0.000859366499999998
10 "LOC399715" 2 1e+05 6368506 6377943 12.3785010562104 0.004689953100469 "rs1557110" 0.00731312100000002
1 "NBPF20" 44 1e+05 144146810 146467744 140.875304307855 0.004719952800472 "rs12143786" 0.000423478750000001
6 "SLC18B1" 3 1e+05 133090506 133119747 13.3593898775115 0.004789952100479 "rs3736725" 0.003147978
1 "NBPF10" 39 1e+05 145293370 146466121 135.35736327988 0.004829951700483 "rs12143786" 0.000423478750000001
17 "SSH2" 21 1e+05 27952956 28257246 115.68434325157 0.004849951500485 "rs4474741" 0.000495727499999995
5 "C5orf64" 37 1e+05 60933635 61002362 137.894484023857 0.004859951400486 "rs16893684" 0.000562495799999989
17 "OGFOD3" 2 1e+05 80347085 80376513 12.8430286167844 0.00490995090049099 "rs6502108" 0.00570488599999998
16 "AP1G1" 11 1e+05 71762904 71842976 55.1995641136536 0.004979950200498 "rs9940707" 0.000678382599999994
13 "GJA3" 9 1e+05 20712394 20735183 34.8002981366205 0.00503994960050399 "rs4769086" 0.000405229249999994
7 "TMEM140" 7 1e+05 134832765 134850967 48.0782904257865 0.005109948900511 "rs1035695" 0.000899136499999995
23 "DRP2" 15 1e+05 100474932 100519485 69.3048866086395 0.005119948800512 "rs7066407" 0.00266797500000001
3 "RBMS3" 267 1e+05 29322802 30051886 533.143926984189 0.00517994820051799 "rs1379526" 0.000111981930000002
12 "C12orf49" 5 1e+05 117153595 117175843 22.1583949458102 0.00526994730052699 "rs339457" 0.00562293829999997
11 "ATG13" 4 1e+05 46638825 46697568 19.745078652785 0.00527994720052799 "rs4606447" 0.00136831800000001
19 "PVRL2" 9 1e+05 45349392 45392485 39.1631083065757 0.00530994690053099 "rs519113" 2.65939050000005e-05
22 "MYO18B" 178 1e+05 26138119 26427007 343.48201785371 0.00531994680053199 "rs13053299" 0.000437463000000007
19 "IPO5P1" 3 1e+05 23437855 23457053 21.0590530936595 0.00533994660053399 "rs295364" 0.0021048856
23 "LRCH2" 18 1e+05 114345182 114468635 102.860192976411 0.00533994660053399 "rs7889745" 0.000108130600000001
15 "LINC00930" 6 1e+05 93111047 93115493 34.549092856162 0.00545994540054599 "rs1826852" 0.000280339619999993
3 "LOC653712" 3 1e+05 128580350 128590384 14.1699109496281 0.00550994490055099 "rs728838" 0.010906741
15 "TLN2" 68 1e+05 62939509 63136829 210.531716982603 0.00554994450055499 "rs1498129" 9.90097700000017e-05
11 "KIRREL3" 276 1e+05 126293395 126870766 596.665183334118 0.00558994410055899 "rs4331105" 0.000467149860000013
6 "RNGTT" 45 1e+05 89319615 89673348 222.214760564519 0.00562994370056299 "rs9451076" 0.000184707239999999
16 "KLHDC4" 28 1e+05 87741417 87799598 101.972560125572 0.00564994350056499 "rs1014628" 2.20234920000004e-05
11 "AGBL2" 6 1e+05 47681142 47736928 35.5580992988057 0.00573994260057399 "rs10742817" 0.00105970479999998
23 "SHROOM2" 74 1e+05 9754495 9917481 215.258286408401 0.00582994170058299 "rs12847912" 0.000320342630000009
1 "CTH" 9 1e+05 70876900 70905534 35.7293620216802 0.00601993980060199 "rs663649" 0.00212379430000001
23 "CHST7" 4 1e+05 46433121 46457931 20.3096573112787 0.00601993980060199 "rs1117956" 0.0021680987
6 "RAB44" 15 1e+05 36665627 36700960 63.7349159608929 0.00603993960060399 "rs9357223" 0.00281773459999999
17 "CUEDC1" 29 1e+05 55938603 56032684 95.6298333235789 0.00605993940060599 "rs9902569" 0.000160380859999997
23 "SAGE1" 8 1e+05 134975784 134995220 59.9888729483215 0.00605993940060599 "rs12014884" 0.0019745443
15 "LOC100128714" 63 1e+05 26147506 26298267 147.855017400976 0.00611993880061199 "rs8028201" 0.000108827699999998
1 "THEM4" 12 1e+05 151843342 151882361 74.011043407182 0.00611993880061199 "rs1003107" 0.000581131899999991
7 "TNPO3" 15 1e+05 128594233 128695227 59.9705685850665 0.00615993840061599 "rs12155080" 0.000629531159999998
4 "LOC100505912" 5 1e+05 22328989 22341289 31.2703437466722 0.00617993820061799 "rs1500457" 0.00402192170000001
3 "LINC00501" 2 1e+05 177012229 177041223 14.8003775964494 0.00622993770062299 "rs4857678" 0.0032207433
2 "MPHOSPH10" 9 1e+05 71357443 71377232 47.3896084761031 0.00633993660063399 "rs357749" 0.00531956229999999
17 "HSF5" 4 1e+05 56497527 56565762 19.5605936324137 0.00641993580064199 "rs1468540" 0.00139494519999998
7 "AKR1B1" 6 1e+05 134127106 134143888 26.3053669575808 0.00652993470065299 "rs1790998" 0.0010696007
5 "CCNB1" 2 1e+05 68462836 68474070 14.479834497456 0.00692993070069299 "rs3846484" 0.006614659
